,book_id,title,num_of_pages,Language,Authors,Publisher,CountsOfReview,Rating,image_url,Publish Date
714,33418,Parallel Worlds: A Journey through Creation Higher Dimensions and the Future of the Cosmos,361,eng,Michio Kaku,Anchor,456,4.18,https://images.gr-assets.com/books/1435244003m/33418.jpg,2006-02-14
605,25200,Silence,201,eng,Shūsaku Endō,Taplinger Publishing Company,2125,4.08,https://images.gr-assets.com/books/1327991351m/25200.jpg,1999-01-01
120,4264,Fever Pitch,247,eng,Nick Hornby,Riverhead Books,1081,3.74,https://images.gr-assets.com/books/1426114203m/4264.jpg,1998-03-01
208,6534,Postmortem (Kay Scarpetta #1),342,eng,Patricia Daniels Cornwell,Pocket Books,2167,4.02,https://images.gr-assets.com/books/1341835831m/6534.jpg,2003-12-30
380,13270,Poetics,144,eng,Aristotle,Penguin Classics,491,3.83,https://images.gr-assets.com/books/1348161995m/13270.jpg,1996-09-26
816,42369,The Hundred Dresses,80,eng,Eleanor Estes,HMH Books for Young Readers,2328,4.09,https://images.gr-assets.com/books/1476941110m/42369.jpg,2004-09-01
575,24244,The Black Ice (Harry Bosch #2; Harry Bosch Universe #2),448,eng,Michael Connelly,Vision,1645,4.08,https://images.gr-assets.com/books/1372241876m/24244.jpg,2003-12-01
266,9303,Lucy Sullivan Is Getting Married,640,en-US,Marian Keyes,William Morrow Paperbacks,698,3.77,https://images.gr-assets.com/books/1407707569m/9303.jpg,2007-01-23
557,22911,Amerika,336,eng,Franz Kafka,Schocken,532,3.75,https://images.gr-assets.com/books/1327894257m/22911.jpg,1996-07-02
825,42899,Dark Lover (Black Dagger Brotherhood #1),393,eng,J.R. Ward,Penguin Group (USA),10622,4.2,https://images.gr-assets.com/books/1429676285m/42899.jpg,2005-09-06
580,24767,Touching Darkness (Midnighters #2),439,eng,Scott Westerfeld,Harper Teen,676,3.89,https://images.gr-assets.com/books/1315537376m/24767.jpg,2006-03-01
327,11149,The Screwtape Letters,224,eng,C.S. Lewis,HarperCollins,4743,4.23,https://images.gr-assets.com/books/1347801873m/11149.jpg,2001-03-06
